Ullage  (cm.),-1,0,1,2,3,4
1020,8546.9,8548.9,8550.8,8552.6,8554.4,8556
1025,8511.2,8513.2,8515.1,8516.9,8518.6,8520.2
1030,8475.5,8477.5,8479.4,8481.2,8482.9,8484.5
1035,8439.8,8441.8,8443.7,8445.5,8447.2,8448.8
1040,8404.1,8406.1,8408,8409.8,8411.5,8413.1
1045,8368.4,8370.4,8372.3,8374.1,8375.8,8377.4
1050,8332.6,8334.7,8336.6,8338.4,8340.1,8341.7
1055,8296.9,8299,8300.9,8302.7,8304.4,8306
1060,8261.2,8263.3,8265.2,8267,8268.7,8270.3
1065,8225.5,8227.6,8229.5,8231.3,8233,8234.6
1070,8189.8,8191.9,8193.8,8195.6,8197.3,8198.9
1075,8154.1,8156.1,8158.1,8159.9,8161.6,8163.2
1080,8118.4,8120.4,8122.4,8124.2,8125.9,8127.4
1085,8082.7,8084.7,8086.7,8088.5,8090.1,8091.7
1090,8047,8049,8050.9,8052.8,8054.4,8056
1095,8011.3,8013.3,8015.2,8017,8018.7,8020.3
1100,7975.6,7977.6,7979.5,7981.3,7983,7984.6
1105,7939.9,7941.9,7943.8,7945.6,7947.3,7948.9
1110,7904.2,7906.2,7908.1,7909.9,7911.6,7913.2
1115,7868.5,7870.5,7872.4,7874.2,7875.9,7877.5
1120,7832.8,7834.8,7836.7,7838.5,7840.2,7841.8
1125,7797.1,7799.1,7801,7802.8,7804.5,7806.1
1130,7761.4,7763.4,7765.3,7767.1,7768.8,7770.3
1135,7725.7,7727.7,7729.6,7731.4,7733.1,7734.6
1140,7689.9,7692,7693.9,7695.7,7697.4,7698.9
1145,7654.2,7656.3,7658.2,7660,7661.7,7663.2
1150,7618.5,7620.6,7622.5,7624.3,7626,7627.5
1155,7582.8,7584.9,7586.8,7588.6,7590.2,7591.8
